sale_id,date,product_id,customer_id,quantity,unit_price,total_amount
S00001,2023-01-01,P002,C001,5,29.22,146.1
S00002,2023-01-01,P003,C004,9,47.93,431.37
S00003,2023-01-01,P007,C002,1,479.68,479.68
S00004,2023-01-01,P004,C017,10,85.73,857.3
S00005,2023-01-01,P004,C018,7,87.47,612.29
S00006,2023-01-01,P010,C009,1,9.22,9.22
S00007,2023-01-01,P003,C014,6,48.88,293.28
S00008,2023-01-01,P004,C011,2,86.33,172.66
S00009,2023-01-02,P006,C012,10,244.1,2441.0
S00010,2023-01-02,P001,C015,9,1251.22,11260.98
S00011,2023-01-02,P015,C013,2,6.02,12.04
S00012,2023-01-03,P010,C012,10,8.71,87.1
S00013,2023-01-03,P002,C002,4,30.81,123.24
S00014,2023-01-03,P002,C008,2,29.63,59.26
S00015,2023-01-03,P008,C012,3,39.47,118.41
S00016,2023-01-03,P004,C009,2,90.97,181.94
S00017,2023-01-03,P003,C018,4,48.31,193.24
S00018,2023-01-03,P007,C009,9,485.97,4373.73
S00019,2023-01-03,P006,C002,4,258.03,1032.12
S00020,2023-01-04,P007,C009,2,485.54,971.08
S00021,2023-01-04,P010,C011,4,9.13,36.52
S00022,2023-01-04,P007,C015,3,488.23,1464.69
S00023,2023-01-04,P004,C018,9,87.85,790.65
S00024,2023-01-04,P010,C014,10,8.9,89.0
S00025,2023-01-05,P003,C017,8,47.94,383.52
S00026,2023-01-05,P001,C004,3,1316.56,3949.68
S00027,2023-01-05,P013,C014,10,143.44,1434.4
S00028,2023-01-05,P007,C020,8,501.45,4011.6
S00029,2023-01-06,P014,C001,2,183.26,366.52
S00030,2023-01-06,P009,C009,6,12.49,74.94
S00031,2023-01-06,P007,C006,8,475.15,3801.2
S00032,2023-01-06,P012,C009,9,205.23,1847.07
S00033,2023-01-06,P009,C004,5,13.43,67.15
S00034,2023-01-06,P009,C020,4,12.54,50.16
S00035,2023-01-06,P013,C006,9,156.79,1411.11
S00036,2023-01-07,P015,C001,10,5.88,58.8
S00037,2023-01-07,P001,C004,6,1349.22,8095.32
S00038,2023-01-07,P014,C010,4,172.03,688.12
S00039,2023-01-07,P015,C019,2,5.74,11.48
S00040,2023-01-07,P008,C003,9,41.05,369.45
S00041,2023-01-07,P003,C016,9,48.32,434.88
S00042,2023-01-07,P009,C020,7,13.59,95.13
S00043,2023-01-08,P013,C007,5,148.47,742.35
S00044,2023-01-08,P011,C012,8,83.19,665.52
S00045,2023-01-08,P008,C004,4,38.89,155.56
S00046,2023-01-08,P006,C001,10,251.34,2513.4
S00047,2023-01-08,P010,C008,1,8.6,8.6
S00048,2023-01-08,P011,C002,4,76.53,306.12
S00049,2023-01-08,P001,C011,2,1301.83,2603.66
S00050,2023-01-09,P011,C016,4,80.3,321.2
S00051,2023-01-09,P012,C019,10,199.44,1994.4
S00052,2023-01-09,P013,C016,7,145.35,1017.45
S00053,2023-01-09,P002,C014,6,29.76,178.56
S00054,2023-01-09,P008,C002,2,38.23,76.46
S00055,2023-01-10,P006,C004,4,242.28,969.12
S00056,2023-01-10,P009,C015,3,12.89,38.67
S00057,2023-01-10,P005,C015,4,363.1,1452.4
S00058,2023-01-10,P002,C015,9,28.78,259.02
S00059,2023-01-10,P011,C018,1,83.74,83.74
S00060,2023-01-10,P015,C008,3,5.93,17.79
S00061,2023-01-10,P008,C007,7,41.6,291.2
S00062,2023-01-10,P003,C013,1,52.42,52.42
S00063,2023-01-11,P015,C015,5,5.94,29.7
S00064,2023-01-11,P012,C018,8,193.09,1544.72
S00065,2023-01-11,P005,C007,1,352.76,352.76
S00066,2023-01-11,P009,C002,6,12.41,74.46
S00067,2023-01-11,P010,C016,9,9.37,84.33
S00068,2023-01-12,P003,C002,9,47.89,431.01
S00069,2023-01-12,P003,C003,10,47.83,478.3
S00070,2023-01-12,P014,C008,7,173.15,1212.05
S00071,2023-01-12,P015,C019,4,6.04,24.16
S00072,2023-01-12,P001,C020,2,1289.49,2578.98
S00073,2023-01-12,P010,C019,9,8.82,79.38
S00074,2023-01-12,P005,C007,6,340.84,2045.04
S00075,2023-01-13,P003,C010,8,49.07,392.56
S00076,2023-01-13,P013,C003,1,149.36,149.36
S00077,2023-01-13,P010,C004,2,9.02,18.04
S00078,2023-01-13,P009,C009,3,13.55,40.65
S00079,2023-01-13,P015,C003,4,5.91,23.64
S00080,2023-01-13,P003,C015,9,51.01,459.09
S00081,2023-01-14,P013,C017,1,152.51,152.51
S00082,2023-01-14,P009,C010,2,13.56,27.12
S00083,2023-01-14,P003,C009,2,51.94,103.88
S00084,2023-01-14,P012,C018,3,195.44,586.32
S00085,2023-01-14,P010,C007,6,8.72,52.32
S00086,2023-01-14,P011,C009,9,79.9,719.1
S00087,2023-01-14,P015,C002,2,6.07,12.14
S00088,2023-01-15,P001,C001,6,1335.24,8011.44
S00089,2023-01-15,P011,C009,3,81.92,245.76
S00090,2023-01-15,P009,C014,9,12.35,111.15
S00091,2023-01-15,P002,C005,9,28.6,257.4
S00092,2023-01-15,P006,C019,9,241.19,2170.71
S00093,2023-01-16,P001,C010,6,1351.86,8111.16
S00094,2023-01-16,P013,C002,6,145.64,873.84
S00095,2023-01-16,P004,C004,6,92.51,555.06
S00096,2023-01-16,P015,C014,10,6.14,61.4
S00097,2023-01-17,P014,C006,3,186.86,560.58
S00098,2023-01-17,P001,C006,6,1336.7,8020.2
S00099,2023-01-17,P007,C008,5,482.95,2414.75
S00100,2023-01-17,P012,C004,7,207.43,1452.01
S00101,2023-01-18,P004,C007,8,88.64,709.12
S00102,2023-01-18,P014,C008,4,171.42,685.68
S00103,2023-01-18,P004,C013,6,88.0,528.0
S00104,2023-01-18,P002,C009,6,30.41,182.46
S00105,2023-01-18,P007,C018,6,521.95,3131.7
S00106,2023-01-18,P002,C009,3,30.23,90.69
S00107,2023-01-19,P001,C004,10,1291.48,12914.8
S00108,2023-01-19,P012,C011,7,202.11,1414.77
S00109,2023-01-19,P009,C004,7,13.51,94.57
S00110,2023-01-19,P004,C009,1,91.87,91.87
S00111,2023-01-19,P001,C017,9,1324.28,11918.52
S00112,2023-01-20,P012,C007,6,198.62,1191.72
S00113,2023-01-20,P011,C011,10,78.5,785.0
S00114,2023-01-20,P014,C004,5,180.12,900.6
S00115,2023-01-20,P011,C014,6,79.21,475.26
S00116,2023-01-20,P005,C018,3,339.2,1017.6
S00117,2023-01-20,P011,C013,3,80.91,242.73
S00118,2023-01-20,P005,C013,9,361.67,3255.03
S00119,2023-01-20,P005,C010,4,347.54,1390.16
S00120,2023-01-21,P010,C011,8,8.94,71.52
S00121,2023-01-21,P011,C007,9,79.78,718.02
S00122,2023-01-21,P015,C006,2,5.86,11.72
S00123,2023-01-21,P011,C020,6,76.74,460.44
S00124,2023-01-21,P013,C008,5,145.86,729.3
S00125,2023-01-21,P004,C005,1,85.91,85.91
S00126,2023-01-21,P008,C020,2,39.81,79.62
S00127,2023-01-22,P010,C007,7,8.98,62.86
S00128,2023-01-22,P004,C005,1,93.52,93.52
S00129,2023-01-22,P014,C004,7,174.93,1224.51
S00130,2023-01-22,P013,C017,8,143.24,1145.92
S00131,2023-01-22,P004,C004,8,86.69,693.52
S00132,2023-01-22,P008,C017,9,40.37,363.33
S00133,2023-01-22,P013,C015,10,154.71,1547.1
S00134,2023-01-22,P015,C017,7,6.19,43.33
S00135,2023-01-23,P008,C006,8,39.79,318.32
S00136,2023-01-23,P013,C008,5,153.98,769.9
S00137,2023-01-23,P009,C016,4,12.7,50.8
S00138,2023-01-23,P002,C010,4,29.31,117.24
S00139,2023-01-23,P006,C018,2,240.95,481.9
S00140,2023-01-23,P004,C013,3,91.85,275.55
S00141,2023-01-23,P002,C014,7,29.48,206.36
S00142,2023-01-24,P007,C002,4,516.63,2066.52
S00143,2023-01-24,P007,C019,1,517.83,517.83
S00144,2023-01-24,P013,C019,7,149.64,1047.48
S00145,2023-01-24,P006,C010,7,258.83,1811.81
S00146,2023-01-24,P014,C014,9,184.45,1660.05
S00147,2023-01-24,P009,C020,4,12.97,51.88
S00148,2023-01-25,P007,C016,1,494.43,494.43
S00149,2023-01-25,P011,C013,3,82.71,248.13
S00150,2023-01-25,P015,C005,10,6.01,60.1
S00151,2023-01-25,P015,C013,10,6.03,60.3
S00152,2023-01-25,P001,C003,7,1252.63,8768.41
S00153,2023-01-26,P003,C002,5,49.39,246.95
S00154,2023-01-26,P004,C015,6,88.53,531.18
S00155,2023-01-26,P015,C013,5,6.14,30.7
S00156,2023-01-26,P014,C014,5,186.02,930.1
S00157,2023-01-26,P008,C001,9,38.2,343.8
S00158,2023-01-26,P006,C008,2,257.02,514.04
S00159,2023-01-27,P001,C001,4,1260.91,5043.64
S00160,2023-01-27,P001,C020,3,1266.0,3798.0
